project_id,created_date,due_date,completed_date,department,content_type,complexity,workflow,prompt_template,pages,actual_hours,baseline_hours,hours_saved,actual_cost_inr,baseline_cost_inr,cost_saved_inr,revisions,first_pass_approved,quality_score,on_time,status
PUB-0001,2025-04-25,2025-05-14,2025-05-05,Editorial,Workbook,Medium,AI-Assisted,Editorial QA,181,54.0,86.9,32.9,35958.13,57850.31,21892.18,1,No,81.7,Yes,Completed
PUB-0002,2026-03-06,2026-03-10,2026-03-08,Editorial,Assessment,Medium,Manual,Manual / NA,4,1.5,1.6,0.1,1183.4,1246.91,63.51,2,No,77.6,Yes,Completed
PUB-0003,2026-01-03,2026-01-14,2026-01-08,Digital Learning,Assessment,Medium,Manual,Manual / NA,62,34.0,35.6,1.6,31484.69,32960.12,1475.43,0,Yes,77.0,Yes,Completed
PUB-0004,2025-02-16,2025-02-26,2025-02-21,Production,Illustration,High,Manual,Manual / NA,33,18.8,19.3,0.5,20060.64,20620.23,559.59,1,No,76.0,Yes,Completed
PUB-0005,2025-03-15,2025-03-26,2025-03-19,Production,School Textbook,Medium,Manual,Manual / NA,49,21.9,20.6,0,21770.37,20428.4,0,1,No,83.6,Yes,Completed
PUB-0006,2026-02-15,2026-03-04,2026-02-27,Editorial,School Textbook,Medium,Manual,Manual / NA,191,92.4,96.3,3.9,102312.1,106632.16,4320.06,0,Yes,83.1,Yes,Completed
PUB-0007,2025-09-27,2025-10-01,2025-09-28,Production,Workbook,Medium,AI-Assisted,Few-shot v2,43,8.0,16.3,8.3,5638.6,11516.84,5878.24,0,Yes,90.5,Yes,Completed
PUB-0008,2026-04-25,2026-05-01,2026-04-26,Design,E-book,Medium,Manual,Manual / NA,10,4.1,3.9,0,4204.3,3950.0,0,0,Yes,79.4,Yes,Completed
PUB-0009,2025-06-11,2025-06-21,2025-06-18,Design,E-book,High,Manual,Manual / NA,75,51.3,52.2,0.9,36074.44,36732.31,657.87,0,Yes,88.6,Yes,Completed
PUB-0010,2025-06-15,2025-06-20,2025-06-16,Design,Illustration,Medium,AI-Assisted,Structured v3,45,9.8,17.3,7.5,11198.07,19776.59,8578.52,0,Yes,83.5,Yes,Completed
PUB-0011,2025-03-22,2025-04-08,2025-03-30,Editorial,Workbook,Low,AI-Assisted,Editorial QA,204,59.8,84.5,24.7,43807.3,61902.12,18094.82,0,Yes,77.9,Yes,Completed
PUB-0012,2025-11-16,2025-11-22,2025-11-18,Design,Illustration,Low,AI-Assisted,Visual Brief,61,11.5,20.5,9.0,10857.78,19336.15,8478.37,0,Yes,80.2,Yes,Completed
PUB-0013,2025-03-02,2025-03-07,2025-03-03,Editorial,E-book,Medium,Manual,Manual / NA,26,10.7,11.0,0.3,9839.9,10072.46,232.56,0,Yes,90.3,Yes,Completed
PUB-0014,2025-07-14,2025-07-24,2025-07-15,Editorial,Assessment,Medium,AI-Assisted,Few-shot v2,10,2.9,5.8,2.9,2468.8,4907.95,2439.15,0,Yes,84.1,Yes,Completed
PUB-0015,2025-07-14,2025-07-24,2025-07-15,Design,School Textbook,Medium,AI-Assisted,Few-shot v2,27,9.1,14.8,5.7,6145.18,10018.94,3873.76,0,Yes,96.5,Yes,Completed
PUB-0016,2026-05-13,2026-05-22,,Design,E-book,Medium,Manual,Manual / NA,50,26.9,28.8,1.9,28030.75,30050.63,2019.88,0,,72.6,,In Progress
PUB-0017,2026-05-14,2026-05-24,2026-05-21,Editorial,Workbook,Medium,Manual,Manual / NA,156,54.9,58.3,3.4,37061.41,39324.29,2262.88,0,Yes,90.9,Yes,Completed
PUB-0018,2025-07-10,2025-07-22,2025-07-16,Editorial,School Textbook,Low,Manual,Manual / NA,111,47.0,50.6,3.6,44521.2,47926.29,3405.09,0,Yes,81.7,Yes,Completed
PUB-0019,2026-06-20,2026-07-01,2026-06-23,Editorial,Workbook,Medium,AI-Assisted,Structured v3,75,21.0,38.1,17.1,16969.86,30774.35,13804.49,0,Yes,94.5,Yes,Completed
PUB-0020,2025-08-07,2025-08-19,2025-08-10,Design,School Textbook,Medium,AI-Assisted,Structured v3,70,18.8,27.6,8.8,18833.28,27678.2,8844.92,0,Yes,91.7,Yes,Completed
PUB-0021,2025-11-03,2025-11-13,2025-11-06,Digital Learning,School Textbook,Low,Manual,Manual / NA,75,23.4,23.6,0.2,18396.47,18544.43,147.96,0,Yes,84.2,Yes,Completed
PUB-0022,2025-09-15,2025-09-26,2025-09-19,Digital Learning,E-book,Low,AI-Assisted,Few-shot v2,78,14.2,27.7,13.5,16186.57,31597.02,15410.45,1,No,83.8,Yes,Completed
PUB-0023,2025-04-25,2025-05-04,2025-05-04,Editorial,E-book,Low,Manual,Manual / NA,147,52.7,53.2,0.5,45579.88,45999.84,419.96,1,No,96.8,Yes,Completed
PUB-0024,2025-09-13,2025-09-28,2025-09-20,Production,Workbook,Medium,AI-Assisted,Visual Brief,166,50.2,93.6,43.4,36708.79,68422.34,31713.55,0,Yes,83.0,Yes,Completed
