date,flight_id,airline,route,terminal,scheduled_departure,seat_capacity,passengers,departure_delay_min,delay_cause,security_wait_min,baggage_delivery_min,satisfaction_score
2026-01-01,IN1000,IndiGo,DEL-BOM,T3,10:00,186,151,24,Weather,16.0,20.6,4.0
2026-01-01,AK1001,Akasa Air,DEL-CCU,T3,17:45,189,163,10,None,13.1,16.9,4.4
2026-01-01,VI1002,Vistara,DEL-GOI,T1,22:45,188,163,13,None,11.7,19.7,4.2
2026-01-01,IN1003,IndiGo,DEL-GOI,T3,16:00,186,139,0,None,17.0,19.5,4.4
2026-01-01,AI1004,Air India,DEL-BLR,T2,13:15,180,138,14,None,13.4,22.8,4.2
2026-01-01,AK1005,Akasa Air,DEL-CCU,T1,12:00,189,142,59,Late Aircraft,8.7,25.2,3.5
2026-01-01,VI1006,Vistara,DEL-LKO,T1,09:30,188,178,74,Late Aircraft,14.2,18.2,3.2
2026-01-01,AK1007,Akasa Air,DEL-LKO,T3,12:15,189,158,3,None,13.8,17.8,4.1
2026-01-01,SP1008,SpiceJet,DEL-BLR,T2,15:30,174,154,8,None,14.8,23.5,4.3
2026-01-01,IN1009,IndiGo,DEL-GOI,T2,13:30,186,155,88,Air Traffic,13.9,28.0,3.4
2026-01-01,AK1010,Akasa Air,DEL-CCU,T1,18:30,189,163,11,None,12.4,15.4,4.1
2026-01-01,AI1011,Air India,DEL-BOM,T1,15:15,180,150,8,None,15.6,20.1,4.3
2026-01-01,SP1012,SpiceJet,DEL-HYD,T1,19:30,174,155,12,None,19.6,16.5,4.1
2026-01-01,SP1013,SpiceJet,DEL-JAI,T1,09:00,174,148,0,None,15.7,16.7,4.4
2026-01-01,AI1014,Air India,DEL-BLR,T3,19:15,180,152,9,None,22.4,15.9,4.0
2026-01-01,SP1015,SpiceJet,DEL-LKO,T1,08:00,174,141,0,None,16.7,16.0,4.3
2026-01-01,IN1016,IndiGo,DEL-LKO,T3,18:45,186,151,13,None,21.5,16.9,4.2
2026-01-01,AK1017,Akasa Air,DEL-BLR,T1,23:45,189,177,17,Technical,12.7,21.6,4.0
2026-01-01,IN1018,IndiGo,DEL-HYD,T2,23:45,186,166,11,None,7.8,16.5,4.4
2026-01-01,AI1019,Air India,DEL-CCU,T2,22:15,180,127,0,None,10.6,18.2,4.4
2026-01-01,IN1020,IndiGo,DEL-BLR,T3,07:30,186,160,16,Air Traffic,10.7,14.5,4.2
2026-01-01,VI1021,Vistara,DEL-CCU,T3,10:00,188,166,0,None,12.2,20.3,4.5
2026-01-01,IN1022,IndiGo,DEL-JAI,T3,15:15,186,179,0,None,12.2,23.0,4.3
2026-01-01,SP1023,SpiceJet,DEL-GOI,T3,23:15,174,154,0,None,6.5,13.9,4.3
2026-01-01,VI1024,Vistara,DEL-BLR,T3,17:00,188,141,6,None,15.0,15.1,4.2
2026-01-01,IN1025,IndiGo,DEL-LKO,T3,06:45,186,163,1,None,12.6,23.6,4.3
2026-01-01,AK1026,Akasa Air,DEL-BOM,T1,21:00,189,162,10,None,11.7,18.6,4.1
2026-01-01,VI1027,Vistara,DEL-CCU,T3,16:15,188,178,13,None,9.5,20.5,4.1
2026-01-01,AI1028,Air India,DEL-HYD,T3,06:00,180,169,0,None,19.0,18.2,4.3
2026-01-01,SP1029,SpiceJet,DEL-BOM,T3,09:15,174,138,0,None,20.6,9.7,4.0
2026-01-01,SP1030,SpiceJet,DEL-PNQ,T2,07:30,174,170,0,None,13.9,8,4.1
2026-01-01,AI1031,Air India,DEL-GOI,T1,15:15,180,147,2,None,12.5,16.9,4.5
2026-01-01,VI1032,Vistara,DEL-BOM,T3,05:30,188,140,65,Crew,11.9,10.4,3.8
2026-01-01,IN1033,IndiGo,DEL-GOI,T2,16:15,186,135,20,Air Traffic,4.7,22.3,4.4
2026-01-02,AK1034,Akasa Air,DEL-GOI,T2,19:45,189,166,13,None,21.1,13.2,3.8
2026-01-02,AI1035,Air India,DEL-BLR,T2,16:15,180,167,11,None,11.0,11.4,4.1
2026-01-02,AI1036,Air India,DEL-BOM,T1,23:15,180,154,10,None,7.7,16.6,4.3
2026-01-02,IN1037,IndiGo,DEL-BLR,T3,09:45,186,156,0,None,20.2,17.9,4.3
2026-01-02,AI1038,Air India,DEL-JAI,T3,23:15,180,171,32,Crew,11.0,10.3,4.0
2026-01-02,SP1039,SpiceJet,DEL-JAI,T1,10:30,174,132,20,Late Aircraft,6.6,20.0,4.1
2026-01-02,VI1040,Vistara,DEL-BLR,T1,09:45,188,148,7,None,14.9,15.8,4.4
2026-01-02,AK1041,Akasa Air,DEL-BOM,T3,18:45,189,182,9,None,17.1,21.1,4.3
2026-01-02,AK1042,Akasa Air,DEL-CCU,T2,10:00,189,170,0,None,13.9,21.8,4.5
2026-01-02,SP1043,SpiceJet,DEL-BOM,T1,13:45,174,123,0,None,9.5,18.9,4.3
2026-01-02,VI1044,Vistara,DEL-LKO,T1,07:00,188,142,0,None,7.8,26.1,4.2
2026-01-02,AI1045,Air India,DEL-CCU,T3,16:15,180,154,21,Late Aircraft,13.9,23.8,4.2
2026-01-02,AK1046,Akasa Air,DEL-BLR,T3,09:00,189,168,0,None,14.7,20.9,4.4
2026-01-02,AK1047,Akasa Air,DEL-CCU,T1,18:45,189,175,5,None,17.1,12.2,3.9
2026-01-02,VI1048,Vistara,DEL-BLR,T2,11:30,188,164,10,None,9.7,20.3,4.3
2026-01-02,AK1049,Akasa Air,DEL-JAI,T2,19:15,189,177,0,None,16.6,15.5,4.4
