order_id,order_date,month,customer_id,customer_segment,region,city,category,product,channel,payment_method,quantity,unit_price,discount,sales,profit,shipping_days,returned
ORD100001,2025-03-18,2025-03,CUST6213,Returning Customer,West,Lucknow,Electronics,Laptop,Marketplace,UPI,6,699,0.2,3355.2,402.94,5,No
ORD100002,2025-09-20,2025-09,CUST4196,New Customer,South,Pune,Electronics,Laptop,Website,Debit Card,6,109,0,654,88.46,6,No
ORD100003,2025-07-30,2025-07,CUST8212,New Customer,South,Pune,Books,Fiction Book,Mobile App,Net Banking,3,35,0.05,99.75,13.84,2,No
ORD100004,2025-05-11,2025-05,CUST5295,Returning Customer,North,Chennai,Home & Kitchen,Mixer,Website,COD,1,180,0.15,153.0,32.83,9,No
ORD100005,2025-03-31,2025-03,CUST1063,New Customer,South,Jaipur,Home & Kitchen,Storage Box,Mobile App,COD,6,141,0.25,634.5,124.32,9,No
ORD100006,2025-07-27,2025-07,CUST1788,Returning Customer,Central,Lucknow,Fashion,Dress,Mobile App,Credit Card,3,68,0.15,173.4,49.51,8,No
ORD100007,2025-03-04,2025-03,CUST4355,Returning Customer,North,Kolkata,Fashion,Jacket,Mobile App,Debit Card,4,87,0.15,295.8,93.18,2,No
ORD100008,2025-10-09,2025-10,CUST5416,Returning Customer,East,Delhi,Home & Kitchen,Lamp,Marketplace,Net Banking,4,48,0,192,47.64,2,No
ORD100009,2025-01-12,2025-01,CUST4677,New Customer,South,Ahmedabad,Home & Kitchen,Cookware Set,Marketplace,Debit Card,5,39,0.15,165.75,35.69,9,No
ORD100010,2025-11-29,2025-11,CUST1660,Returning Customer,East,Mumbai,Home & Kitchen,Storage Box,Website,Credit Card,3,223,0,669,145.32,2,No
ORD100011,2025-05-11,2025-05,CUST2868,New Customer,North,Ahmedabad,Home & Kitchen,Lamp,Marketplace,Net Banking,1,52,0,52,10.05,2,No
ORD100012,2025-04-20,2025-04,CUST5332,Returning Customer,Central,Lucknow,Home & Kitchen,Bedsheet,Marketplace,Debit Card,5,115,0.15,488.75,75.24,2,No
ORD100013,2025-11-10,2025-11,CUST2871,Returning Customer,North,Bengaluru,Beauty,Serum,Mobile App,UPI,3,77,0.25,173.25,51.21,8,No
ORD100014,2025-03-29,2025-03,CUST8741,New Customer,South,Hyderabad,Home & Kitchen,Storage Box,Website,Net Banking,6,151,0,906,213.1,4,Yes
ORD100015,2025-09-20,2025-09,CUST6118,New Customer,East,Delhi,Fashion,Dress,Mobile App,Debit Card,3,32,0.2,76.8,25.98,2,No
ORD100016,2025-11-18,2025-11,CUST3182,Returning Customer,South,Kolkata,Books,Children Book,Mobile App,Debit Card,6,15,0.1,81.0,9.13,4,No
