order_id,order_date,region,state,city,category,sub_category,customer_segment,sales,profit,quantity,discount,shipping_cost
ORD-100001,2023-08-17,West,Washington,Seattle,Technology,Accessories,Consumer,212.99,49.66,2,0,8.44
ORD-100002,2023-07-11,East,Pennsylvania,Philadelphia,Office Supplies,Binders,Corporate,105,12.12,7,0.1,29.13
ORD-100003,2023-01-14,East,New Jersey,Newark,Furniture,Bookcases,Consumer,1545.04,56.05,6,0.2,39.36
ORD-100004,2023-03-30,Central,Indiana,Indianapolis,Technology,Machines,Consumer,1454.28,148.28,5,0.2,37.16
ORD-100005,2023-04-04,East,Massachusetts,Boston,Technology,Accessories,Home Office,1329.53,85.94,7,0.2,32.91
ORD-100006,2024-06-30,West,Colorado,Denver,Office Supplies,Paper,Corporate,460.08,68.6,4,0.05,18.56
ORD-100007,2024-03-25,South,Texas,Houston,Technology,Phones,Corporate,1475.14,101.99,7,0.2,39.96
ORD-100008,2025-07-28,East,Massachusetts,Boston,Technology,Accessories,Corporate,1513.91,148.82,5,0.25,26.48
ORD-100009,2024-03-25,East,Maryland,Baltimore,Furniture,Chairs,Corporate,427.02,-8.04,2,0.25,13.39
ORD-100010,2025-08-16,South,North Carolina,Charlotte,Technology,Phones,Corporate,1392.71,83.62,5,0.2,27.72
ORD-100011,2025-07-18,West,Washington,Seattle,Office Supplies,Paper,Corporate,171.35,15.21,2,0.1,18.68
ORD-100012,2025-12-22,West,Colorado,Denver,Furniture,Furnishings,Consumer,716.54,10.07,6,0.15,24.12
ORD-100013,2023-06-11,West,Arizona,Phoenix,Technology,Accessories,Consumer,2309.44,240.86,8,0.25,69.02
ORD-100014,2024-02-16,South,Georgia,Atlanta,Office Supplies,Storage,Consumer,463.68,75.26,8,0,20.59
ORD-100015,2023-02-13,East,Maryland,Baltimore,Technology,Phones,Consumer,254.67,14.36,1,0.2,8.17
ORD-100016,2025-09-21,East,Maryland,Baltimore,Technology,Machines,Consumer,3843.91,133.14,8,0.25,22.43
ORD-100017,2025-06-01,South,Georgia,Atlanta,Furniture,Furnishings,Home Office,47.98,4.58,1,0,11.6
ORD-100018,2023-08-12,East,Pennsylvania,Philadelphia,Technology,Machines,Consumer,45,5.59,3,0.15,27.86
ORD-100019,2023-06-04,Central,Indiana,Indianapolis,Technology,Phones,Corporate,491.15,63.83,1,0.1,9.9
ORD-100020,2024-03-13,Central,Illinois,Chicago,Technology,Machines,Consumer,1165.5,193.34,7,0.15,53.97
ORD-100021,2024-08-07,Central,Indiana,Indianapolis,Office Supplies,Appliances,Consumer,337.51,69.97,5,0,14.5
ORD-100022,2025-09-03,East,New York,New York City,Office Supplies,Binders,Home Office,154.31,30.98,2,0,11.29
ORD-100023,2023-09-03,East,Maryland,Baltimore,Office Supplies,Binders,Corporate,277.45,26.11,7,0.2,25.51
ORD-100024,2024-10-05,East,Massachusetts,Boston,Furniture,Tables,Corporate,366.29,-28.04,5,0.3,38.82
ORD-100025,2023-05-29,West,Arizona,Phoenix,Office Supplies,Binders,Consumer,183.82,16.41,4,0.2,35.62
ORD-100026,2025-01-26,South,Texas,Dallas,Furniture,Bookcases,Corporate,178.05,13.6,1,0.15,7.23
ORD-100027,2023-10-03,South,Texas,Houston,Technology,Accessories,Consumer,814.0,104.18,4,0.15,18.03
ORD-100028,2023-04-15,West,Arizona,Phoenix,Furniture,Chairs,Consumer,343.73,2.42,3,0.15,18.78
ORD-100029,2025-05-25,West,California,Los Angeles,Technology,Accessories,Corporate,962.97,145.66,6,0.05,29.32
ORD-100030,2023-03-23,South,Texas,Dallas,Office Supplies,Paper,Corporate,329.82,21.49,6,0.25,45.48
ORD-100031,2024-04-29,East,Pennsylvania,Philadelphia,Furniture,Chairs,Consumer,1203.65,58.99,6,0.1,47.07
ORD-100032,2023-08-10,Central,Illinois,Chicago,Furniture,Tables,Consumer,641.0,-8.03,8,0.2,61.54
ORD-100033,2024-04-11,East,New York,New York City,Office Supplies,Paper,Consumer,632.18,46.85,5,0.15,30.33
ORD-100034,2024-11-09,West,California,Los Angeles,Furniture,Tables,Corporate,75,7.48,5,0,27.71
ORD-100035,2024-10-04,Central,Indiana,Indianapolis,Office Supplies,Binders,Consumer,253.34,47.32,4,0,33.58
ORD-100036,2024-02-08,South,Georgia,Atlanta,Technology,Copiers,Corporate,819.96,105.07,2,0.15,17.34
ORD-100037,2024-10-30,Central,Ohio,Columbus,Office Supplies,Paper,Consumer,216.73,17.13,7,0.15,56.35
ORD-100038,2024-09-14,South,Texas,Dallas,Furniture,Bookcases,Consumer,120,8.52,8,0.1,61.45
ORD-100039,2023-12-14,West,Washington,Seattle,Office Supplies,Storage,Consumer,212.43,18.75,4,0.1,12.29
ORD-100040,2025-08-31,West,Arizona,Phoenix,Furniture,Tables,Corporate,822.68,-56.79,7,0.3,22.73
ORD-100041,2023-01-12,West,Arizona,Phoenix,Technology,Accessories,Corporate,2456.71,543.13,8,0,61.88
ORD-100042,2025-12-23,South,Georgia,Atlanta,Office Supplies,Appliances,Home Office,587.2,102.42,8,0.05,43.58
ORD-100043,2024-06-14,East,Massachusetts,Boston,Office Supplies,Appliances,Corporate,75,7.46,5,0.1,23.69
ORD-100044,2023-06-15,East,Pennsylvania,Philadelphia,Technology,Machines,Corporate,1162.3,252.61,4,0,20.26
ORD-100045,2025-08-12,Central,Illinois,Chicago,Technology,Machines,Consumer,348.09,21.03,1,0.25,13.1
ORD-100046,2024-09-03,Central,Missouri,St. Louis,Office Supplies,Paper,Consumer,86.46,1.83,5,0.25,26.11
ORD-100047,2025-04-08,East,New Jersey,Newark,Technology,Phones,Home Office,330.62,0.45,1,0.3,8.32
ORD-100048,2024-11-01,East,New Jersey,Newark,Furniture,Bookcases,Corporate,1629.05,98.04,7,0.15,56.26
ORD-100049,2024-05-31,West,Arizona,Phoenix,Technology,Phones,Home Office,1364.14,338.14,6,0,53.88
ORD-100050,2024-02-13,West,Colorado,Denver,Technology,Accessories,Consumer,530.05,83.14,2,0.1,11.59
ORD-100051,2025-01-25,East,Maryland,Baltimore,Office Supplies,Binders,Corporate,245.05,54.79,3,0,21.59
ORD-100052,2025-02-07,Central,Michigan,Detroit,Technology,Accessories,Consumer,1036.38,260.82,5,0,32.31
ORD-100053,2023-03-26,South,North Carolina,Charlotte,Furniture,Bookcases,Consumer,1698.1,-162.17,6,0.3,54.35
ORD-100054,2025-07-30,East,New Jersey,Newark,Technology,Copiers,Corporate,1840.24,44.54,8,0.3,57.94
ORD-100055,2024-07-03,South,Texas,Dallas,Technology,Copiers,Home Office,881.88,42.13,4,0.25,24.84
ORD-100056,2024-10-27,East,New Jersey,Newark,Technology,Copiers,Corporate,376.97,60.97,6,0.15,43.45
ORD-100057,2024-07-19,West,Colorado,Denver,Technology,Phones,Consumer,116.54,5.03,7,0.3,39.55
ORD-100058,2023-02-05,West,Washington,Seattle,Technology,Machines,Corporate,1173.1,108.62,5,0.2,31.08
ORD-100059,2025-05-21,South,Florida,Miami,Office Supplies,Appliances,Consumer,359.85,7.47,5,0.2,31.26
ORD-100060,2024-01-15,East,Pennsylvania,Philadelphia,Office Supplies,Appliances,Consumer,608.59,130.81,5,0,22.87
ORD-100061,2025-01-09,East,Massachusetts,Boston,Technology,Accessories,Consumer,43.32,8.88,1,0.05,11.77
ORD-100062,2023-07-30,West,Colorado,Denver,Furniture,Furnishings,Consumer,777.81,112.31,6,0.05,24.6
ORD-100063,2025-09-05,West,California,Los Angeles,Furniture,Furnishings,Consumer,284.65,0.05,1,0.15,8.24
ORD-100064,2025-05-02,East,Maryland,Baltimore,Furniture,Furnishings,Home Office,1636.88,-73.69,5,0.25,34.24
ORD-100065,2023-07-23,East,Pennsylvania,Philadelphia,Furniture,Chairs,Consumer,375.87,-12.01,3,0.25,21.97
ORD-100066,2024-08-19,West,California,San Francisco,Furniture,Bookcases,Corporate,1291.7,196.16,8,0,68.74
ORD-100067,2024-02-10,Central,Illinois,Chicago,Office Supplies,Paper,Corporate,356.86,63.82,5,0.05,33.33
ORD-100068,2024-08-14,Central,Illinois,Chicago,Furniture,Bookcases,Corporate,731.12,-47.96,5,0.3,33.43
ORD-100069,2025-06-03,South,North Carolina,Charlotte,Furniture,Chairs,Consumer,327.88,14.55,1,0.15,11.84
ORD-100070,2023-12-25,Central,Indiana,Indianapolis,Office Supplies,Appliances,Home Office,194.57,6.74,3,0.25,19.83
ORD-100071,2023-07-06,Central,Ohio,Columbus,Furniture,Bookcases,Consumer,470.96,-37.23,2,0.3,21.23
ORD-100072,2023-03-17,Central,Illinois,Chicago,Furniture,Bookcases,Consumer,776.72,115.88,7,0,42.09
