run_id,production_date,month,plant,production_line,shift,fabric_type,customer_segment,target_meters,actual_meters,good_meters,defect_meters,defect_type,material_issued_kg,waste_kg,downtime_minutes,machine_speed_rpm,operators_count,energy_kwh,order_value_inr,delivery_status,quality_grade
TR01409,2025-01-01,Jan,Surat,SU-L03,Night,Cotton,Exporter,930,846.0,805.8,40.2,Weaving,263.6,16.6,49,784,10,230.3,111672.0,On Time,B
TR01482,2025-01-01,Jan,Ludhiana,LU-L03,Evening,Polyester,Fashion House,1043,990.8,959.0,31.8,Weaving,264.1,9.5,15,630,11,211.1,107006.4,On Time,B
TR01488,2025-01-01,Jan,Surat,SU-L02,Morning,Denim,Wholesaler,783,779.7,757.3,22.4,Stain,223.7,13.3,26,801,11,168.0,136447.5,On Time,B
TR00381,2025-01-02,Jan,Jaipur,JA-L02,Morning,Cotton,Domestic Brand,801,727.2,716.6,10.6,Stain,207.4,9.3,13,777,5,194.5,95990.4,On Time,A
TR00773,2025-01-02,Jan,Jaipur,JA-L01,Evening,Viscose,Exporter,1008,938.5,884.9,53.6,Weaving,285.9,16.4,30,896,11,257.9,138898.0,On Time,C
TR00845,2025-01-02,Jan,Jaipur,JA-L01,Night,Cotton,Wholesaler,1085,1008.1,969.8,38.3,Yarn Break,279.5,18.0,23,882,8,224.7,133069.2,On Time,B
TR00846,2025-01-02,Jan,Ludhiana,LU-L02,Evening,Cotton,Fashion House,1074,968.5,943.6,24.9,Finishing,283.9,9.9,41,726,11,214.8,127842.0,On Time,B
TR00901,2025-01-02,Jan,Delhi NCR,DE-L03,Morning,Polyester,Domestic Brand,829,768.1,763.5,4.6,Shade Variation,202.9,7.9,63,840,7,200.0,82954.8,On Time,A
TR01237,2025-01-02,Jan,Delhi NCR,DE-L01,Evening,Polyester,Fashion House,1193,1128.2,1082.8,45.4,Weaving,311.9,13.4,25,907,11,299.6,121845.6,On Time,B
TR01294,2025-01-02,Jan,Jaipur,JA-L03,Evening,Cotton,Domestic Brand,811,777.9,749.0,28.9,Finishing,228.6,7.8,16,802,7,190.0,102682.8,On Time,B
TR00104,2025-01-03,Jan,Jaipur,JA-L03,Night,Polyester,Wholesaler,1019,822.6,804.3,18.3,Finishing,222.2,4.9,39,729,6,148.6,88840.8,On Time,A
TR00465,2025-01-03,Jan,Surat,SU-L03,Night,Cotton,Exporter,1203,1122.9,1087.3,35.6,Weaving,313.0,14.9,15,624,6,297.4,148222.8,On Time,B
TR00575,2025-01-03,Jan,Surat,SU-L01,Morning,Blend,Exporter,872,812.4,798.3,14.1,Shade Variation,227.1,9.0,8,666,5,152.3,100737.6,On Time,A
TR00707,2025-01-03,Jan,Delhi NCR,DE-L03,Morning,Cotton,Wholesaler,952,844.1,832.0,12.1,Shade Variation,262.6,10.7,42,799,6,217.6,111421.2,On Time,A
TR01190,2025-01-03,Jan,Delhi NCR,DE-L01,Evening,Blend,Fashion House,1219,1085.2,1053.2,32.0,Yarn Break,294.9,9.7,15,636,11,241.9,134564.8,On Time,B
TR01279,2025-01-03,Jan,Surat,SU-L03,Morning,Viscose,Fashion House,803,690.1,671.2,18.9,Finishing,208.0,9.7,50,789,7,126.7,102134.8,On Time,B
TR00303,2025-01-04,Jan,Surat,SU-L01,Morning,Cotton,Wholesaler,907,823.2,799.1,24.1,Finishing,222.3,7.8,18,687,5,194.7,108662.4,On Time,B
TR01070,2025-01-04,Jan,Ludhiana,LU-L01,Morning,Blend,Fashion House,977,816.7,792.5,24.2,Finishing,233.7,9.9,113,872,8,150.4,101270.8,On Time,B
TR01175,2025-01-04,Jan,Delhi NCR,DE-L02,Night,Polyester,Wholesaler,793,738.2,710.8,27.4,Weaving,221.3,5.8,13,678,9,191.7,79725.6,On Time,B
TR00790,2025-01-05,Jan,Surat,SU-L01,Evening,Polyester,Domestic Brand,1044,995.3,944.5,50.8,Weaving,291.2,10.2,43,686,8,181.7,107492.4,On Time,C
TR00801,2025-01-05,Jan,Delhi NCR,DE-L01,Morning,Polyester,Wholesaler,1165,1076.9,1056.7,20.2,Weaving,320.4,10.8,13,850,10,202.1,116305.2,On Time,A
TR00410,2025-01-06,Jan,Ludhiana,LU-L02,Morning,Cotton,Fashion House,844,792.1,745.6,46.5,Weaving,226.7,12.1,34,756,9,187.9,104557.2,Late,C
TR00839,2025-01-06,Jan,Surat,SU-L02,Night,Viscose,Exporter,1050,959.5,916.0,43.5,Weaving,270.6,17.5,15,803,10,202.0,142006.0,On Time,B
TR00889,2025-01-06,Jan,Delhi NCR,DE-L02,Night,Denim,Exporter,1155,1054.1,1009.6,44.5,Yarn Break,289.3,9.4,48,672,10,253.6,184467.5,On Time,B
TR01038,2025-01-06,Jan,Ludhiana,LU-L03,Night,Polyester,Fashion House,872,852.4,829.1,23.3,Weaving,232.7,7.9,41,785,8,168.5,92059.2,On Time,B
TR01121,2025-01-06,Jan,Surat,SU-L01,Night,Denim,Exporter,836,642.7,620.9,21.8,Yarn Break,184.1,5.8,61,798,8,157.6,112472.5,On Time,B
TR00415,2025-01-07,Jan,Delhi NCR,DE-L03,Morning,Denim,Exporter,814,735.0,702.1,32.9,Yarn Break,200.7,5.6,55,659,7,158.6,128625.0,On Time,B
TR00478,2025-01-07,Jan,Surat,SU-L01,Night,Cotton,Wholesaler,1148,1037.2,1004.4,32.8,Shade Variation,275.2,13.3,27,781,10,246.5,136910.4,On Time,B
TR01366,2025-01-07,Jan,Jaipur,JA-L02,Morning,Denim,Exporter,1041,960.1,936.4,23.7,Weaving,267.0,14.2,20,656,7,175.9,168017.5,On Time,A
TR00233,2025-01-08,Jan,Ludhiana,LU-L03,Evening,Denim,Wholesaler,987,921.5,899.3,22.2,Weaving,265.9,12.9,9,881,8,220.0,161262.5,On Time,A
TR00300,2025-01-08,Jan,Delhi NCR,DE-L02,Morning,Viscose,Wholesaler,1102,999.9,969.2,30.7,Stain,303.1,13.2,57,765,5,197.4,147985.2,On Time,B
TR00540,2025-01-08,Jan,Surat,SU-L01,Morning,Viscose,Fashion House,792,735.9,699.8,36.1,Stain,199.6,9.7,29,629,12,182.7,108913.2,On Time,B
