ticket_id,student_key,created_at,month,department,program_level,query_type,channel,priority,assigned_agent,status,resolution_hours,sla_target_hours,sla_met,first_contact_resolved,reopened,csat_score,academic_year
QRY-00001,STU-99837,2025-06-04 16:19,2025-06,Engineering,PG,Enrollment,Email,High,Agent E,Resolved,6.5,24,Yes,Yes,No,4,2024-25
QRY-00002,STU-44094,2025-08-12 15:47,2025-08,Computer Applications,UG,Document Update,Service Desk,High,Agent D,Closed,14.0,24,Yes,Yes,No,4,2025-26
QRY-00003,STU-41224,2025-04-19 12:04,2025-04,Engineering,UG,Fee & Payment,Service Desk,Medium,Agent C,Closed,11.8,48,Yes,Yes,No,5,2024-25
QRY-00004,STU-29339,2025-10-17 11:37,2025-10,Humanities,UG,Results,Email,Medium,Agent F,Resolved,45.3,48,Yes,Yes,No,4,2025-26
QRY-00005,STU-54249,2026-02-28 15:59,2026-02,Computer Applications,UG,Timetable,Service Desk,Medium,Agent F,Resolved,17.0,48,Yes,No,No,2,2024-25
QRY-00006,STU-42534,2025-09-10 11:01,2025-09,Humanities,PG,Portal Access,Walk-in,Medium,Agent A,Closed,28.7,48,Yes,Yes,No,5,2025-26
QRY-00007,STU-39334,2026-06-09 15:28,2026-06,Commerce,PG,Examination,Email,High,Agent B,Closed,12.6,24,Yes,No,No,5,2024-25
QRY-00008,STU-92943,2025-03-02 14:49,2025-03,Science,Diploma,Portal Access,Walk-in,High,Agent D,Resolved,15.5,24,Yes,Yes,No,5,2024-25
QRY-00009,STU-13894,2026-06-17 14:24,2026-06,Humanities,UG,Portal Access,Email,Critical,Agent B,Resolved,8.8,8,No,Yes,No,5,2024-25
QRY-00010,STU-34104,2026-06-14 08:03,2026-06,Humanities,UG,Examination,Service Desk,Medium,Agent D,Closed,24.7,48,Yes,No,No,4,2024-25
QRY-00011,STU-45973,2025-08-09 09:05,2025-08,Commerce,UG,Examination,Email,Medium,Agent A,Closed,33.2,48,Yes,Yes,No,5,2025-26
QRY-00012,STU-84781,2025-02-10 13:53,2025-02,Management,UG,Enrollment,Service Desk,Critical,Agent B,Closed,6.2,8,Yes,No,Yes,4,2024-25
QRY-00013,STU-46710,2026-05-10 16:19,2026-05,Commerce,UG,Timetable,Student Portal,High,Agent E,Closed,2.9,24,Yes,No,Yes,5,2024-25
QRY-00014,STU-59359,2025-05-11 16:40,2025-05,Commerce,PG,Results,Phone,High,Agent A,Resolved,18.3,24,Yes,No,No,5,2024-25
